embedding_out,rnn_layers,lstm_units,epochs,stopped_epoch,AUC,Precision,Recall,F1,Average_precision
16,1,32,50,6,0.852340986,0.327536393,0.79479574,0.463899272,0.271063637
16,1,64,50,5,0.85378072,0.26983294,0.831872725,0.40748935,0.233265393
16,1,128,50,6,0.845262549,0.331950686,0.776863961,0.465146317,0.269558069
32,1,32,50,6,0.8624523,0.291535609,0.837265741,0.432481371,0.252609271
32,1,64,50,8,0.871837145,0.323227612,0.840906027,0.466963651,0.28013003
32,1,128,50,12,0.857070029,0.361230769,0.791425104,0.496049351,0.296802605
16,2,32,50,5,0.875899426,0.293075171,0.867331805,0.438110805,0.26113644
16,2,64,50,5,0.866040171,0.28009915,0.853175138,0.421740145,0.246657526
16,2,128,50,9,0.870561543,0.301127137,0.850074154,0.444718744,0.263826577
32,2,32,50,3,0.857183958,0.263769581,0.844546313,0.401989411,0.2309011
32,2,64,50,11,0.879882014,0.277946768,0.887016314,0.423263744,0.252456177
32,2,128,50,13,0.870103256,0.258107894,0.879870568,0.399131525,0.233388363
